school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,18,46,39.13,3.55,4.06
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,9,32,28.12,3.61,4.19
ARVIN HIGH SCHOOL,Arvin,Kern,12,23,52.17,3.74,4.08
ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,0,14,0.0,3.91,
ASPIRE EAST PALO ALTO PHOENIX,East Palo Alto,San Mateo,0,0,,,
ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,4,5,80.0,3.77,4.0
ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,0,6,0.0,3.83,
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,0,7,0.0,3.47,
ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,0,26,0.0,3.54,
ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,3,8,37.5,,
ASSURANCE LEARNING ACADEMY,Lancaster,Los Angeles,0,0,,,
ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,5,14,35.71,4.05,4.28
ATWATER HIGH SCHOOL,Atwater,Merced,13,26,50.0,3.9,
AUDEO CHARTER SCHOOL,San Diego,San Diego,0,0,,,
AUGUSTUS HAWKINS COMM HEALTH ADVCTE,Los Angeles,Los Angeles,0,7,0.0,3.47,
AUGUSTUS HAWKINS HIGH SCHOOL RISE,Los Angeles,Los Angeles,3,15,20.0,3.0,
AVALON HIGH SCHOOL,Avalon,Los Angeles,0,0,,,
AVENAL HIGH SCHOOL,Avenal,Kings,5,12,41.67,3.69,
AVESON GLOBAL LEADERSHIP ACAD,Altadena,Los Angeles,0,0,,3.64,
AZUSA HIGH SCHOOL,Azusa,Los Angeles,6,21,28.57,3.46,
BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,15,29,51.72,3.7,
BALBOA HIGH SCHOOL,San Francisco,San Francisco,21,69,30.43,4.01,4.24
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,14,29,48.28,3.69,
BANNING ACADEMIES CREATE/INNO,Wilmington,Los Angeles,0,8,0.0,,
BANNING HIGH SCHOOL,Banning,Riverside,7,37,18.92,3.52,4.15
BARSTOW HIGH SCHOOL,Barstow,San Bernardino,8,15,53.33,3.96,
BASSETT HIGH SCHOOL,La Puente,Los Angeles,5,21,23.81,3.56,4.12
BAY AREA TECHNOLOGY-BAYTECH,Oakland,Alameda,0,0,,,
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,3,17,17.65,3.77,
BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,0,7,0.0,4.01,
BEAUMONT HIGH SCHOOL,Beaumont,Riverside,29,72,40.28,3.83,4.15
BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,23,57,40.35,3.59,3.99
BELL HIGH SCHOOL,Bell,Los Angeles,17,51,33.33,3.79,4.19
BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,15,48,31.25,3.99,4.32
BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,7,32,21.88,3.64,4.05
BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,5,12,41.67,3.7,
BENICIA HIGH SCHOOL,Benicia,Solano,19,52,36.54,3.94,4.24
BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,16,39,41.03,3.73,4.16
BERKELEY HIGH SCHOOL,Berkeley,Alameda,82,268,30.6,3.93,4.2
BEVERLY HILLS ADULT,Beverly Hills,Los Angeles,0,0,,,
BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,27,121,22.31,3.8,4.17
BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,3,12,25.0,,
BIG VALLEY HIGH SCHOOL,Bieber,Lassen,0,0,,,
BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,16,74,21.62,3.6,3.92
BISHOP UNION HIGH SCHOOL,Bishop,Inyo,4,12,33.33,3.77,
BLAIR HIGH SCHOOL,Pasadena,Los Angeles,6,14,42.86,3.55,
BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,10,37,27.03,3.63,3.98
BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,20,80,25.0,3.66,4.11
BONITA HIGH SCHOOL,La Verne,Los Angeles,18,68,26.47,3.96,4.28
BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,34,88,38.64,3.8,4.15
BRANHAM HIGH SCHOOL,San Jose,Santa Clara,20,59,33.9,3.97,4.32
BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial,6,23,26.09,4.0,4.2
BREA OLINDA HIGH SCHOOL,Brea,Orange,24,71,33.8,3.9,4.18
BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,0,6,0.0,,
BUCKINGHAM COLLEGIATE CHARTER,Vacaville,Solano,4,10,40.0,4.02,
BUENA HIGH SCHOOL,Ventura,Ventura,11,23,47.83,3.93,4.28
BUENA PARK HIGH SCHOOL,Buena Park,Orange,7,35,20.0,3.71,4.23
BUENA VISTA VIRTUAL ACADEMY,Yorba Linda,Orange,0,0,,,
BUHACH COLONY HIGH SCHOOL,Atwater,Merced,11,29,37.93,3.97,4.28
BULLARD HIGH SCHOOL,Fresno,Fresno,6,26,23.08,4.04,4.3
BURBANK ADULT SCHOOL,Burbank,Los Angeles,0,0,,,
BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,33,116,28.45,3.87,4.18
BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,34,110,30.91,3.94,4.24
C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,14,56,25.0,3.97,4.28
CA CONNECTIONS ACADEMY CAPISTRANO,San Juan Capistrano,Orange,7,17,41.18,3.93,
CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,3,17,17.65,3.86,
CAJON HIGH SCHOOL,San Bernardino,San Bernardino,18,82,21.95,3.61,4.15
CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,38,114,33.33,3.96,4.25
CALAVERAS HIGH SCHOOL,San Andreas,Calaveras,0,6,0.0,3.94,
CALERO HIGH SCHOOL,San Jose,Santa Clara,0,0,,,
CALEXICO HIGH SCHOOL,Calexico,Imperial,15,49,30.61,3.8,4.11
CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,42,119,35.29,3.91,4.13
CALIFORNIA CITY HIGH SCHOOL,California City,Kern,0,0,,3.88,
CALIFORNIA CONNECTIONS ACD RPN,Ripon,San Joaquin,3,7,42.86,,
CALIFORNIA CONNECTNS ACD N BAY,Ripon,San Joaquin,0,0,,,
CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,44,171,25.73,3.88,4.16
CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles,24,71,33.8,3.79,4.22
CALIFORNIA MILITARY INSTITUTE,Perris,Riverside,0,17,0.0,3.79,4.12
CALIFORNIA PREPARATORY ACADEMY,San Juan Capistrano,Orange,0,0,,,
CALIFORNIA VIRTUAL ACAD SAN DIEGO,Simi Valley,Ventura,3,6,50.0,3.8,
CALIFORNIA VIRTUAL ACAD SAN MATEO,Simi Valley,Ventura,0,0,,3.82,
CALIFORNIA VIRTUAL ACADEMY LA,Simi Valley,Ventura,0,5,0.0,,
CALIFORNIA VIRTUAL AT MARICOPA,Simi Valley,Ventura,0,0,,,
CALIFORNIA VIRTUAL-SAN JOAQUIN,Simi Valley,Ventura,0,0,,,
CALIPATRIA HIGH SCHOOL,Calipatria,Imperial,0,9,0.0,4.0,4.08
CALISTOGA HIGH SCHOOL,Calistoga,Napa,0,0,,3.93,
CAMINO NUEVO HIGH SCHOOL,Los Angeles,Los Angeles,0,8,0.0,3.47,
CAMINO NUEVO HIGH SCHOOL NO 2,Los Angeles,Los Angeles,0,13,0.0,3.28,
CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,33,81,40.74,3.94,4.23
CANOGA PARK HIGH SCHOOL,Canoga Park,Los Angeles,6,16,37.5,3.77,
CANYON CREST ACADEMY,San Diego,San Diego,88,198,44.44,3.91,4.08
CANYON HIGH SCHOOL,Anaheim,Orange,44,141,31.21,3.99,4.29
CANYON HIGH SCHOOL,Canyon Country,Los Angeles,23,50,46.0,3.84,4.29
CANYON HILLS HIGH SCHOOL,San Diego,San Diego,23,73,31.51,4.1,4.28
CANYON SPRINGS HIGH SCHOOL,Moreno Valley,Riverside,14,48,29.17,3.77,4.15
CAPISTRANO VALLEY HIGH SCHOOL,Mission Viejo,Orange,27,77,35.06,4.01,4.26
CAPUCHINO HIGH SCHOOL,San Bruno,San Mateo,15,40,37.5,3.98,4.3
CARLMONT HIGH SCHOOL,Belmont,San Mateo,42,156,26.92,4.0,4.2
CARLSBAD HIGH SCHOOL,Carlsbad,San Diego,33,105,31.43,3.94,4.13
CARLSBAD SEASIDE ACADEMY,Carlsbad,San Diego,0,0,,,
CARMEL HIGH SCHOOL,Carmel,Monterey,13,30,43.33,3.92,4.31
CARPINTERIA HIGH SCHOOL,Carpinteria,Santa Barbara,5,18,27.78,3.7,
CARSON HIGH SCHOOL,Carson,Los Angeles,12,44,27.27,3.79,4.09
CARUTHERS HIGH SCHOOL,Caruthers,Fresno,0,6,0.0,,
CASA GRANDE HIGH SCHOOL,Petaluma,Sonoma,8,35,22.86,3.74,4.21
CASA ROBLE FUNDAMENTAL HS,Orangevale,Sacramento,4,13,30.77,4.0,
CASTLE PARK HIGH SCHOOL,Chula Vista,San Diego,11,39,28.21,3.59,3.98
CASTLEMONT HIGH SCHOOL,Oakland,Alameda,3,7,42.86,,
CASTRO VALLEY EVENING HIGH SCHOOL,Castro Valley,Alameda,0,0,,,
CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,38,138,27.54,3.9,4.24
CATCH PREP CHARTER HIGH,Los Angeles,Los Angeles,0,0,,3.47,
CATHEDRAL CITY HIGH SCHOOL,Cathedral City,Riverside,4,26,15.38,3.76,4.1
CEIBA COLLEGE PREPARATORY ACAD,Watsonville,Santa Cruz,0,6,0.0,3.9,
CENTENNIAL HIGH SCHOOL,Bakersfield,Kern,7,27,25.93,4.02,4.26
CENTENNIAL HIGH SCHOOL,Compton,Los Angeles,3,17,17.65,3.54,
CENTENNIAL HIGH SCHOOL,Corona,Riverside,37,142,26.06,3.71,4.0
CENTER HIGH SCHOOL,Antelope,Sacramento,12,19,63.16,3.95,
CENTRAL CITY VALUE HIGH SCHOOL,Los Angeles,Los Angeles,5,14,35.71,3.51,
CENTRAL COAST NEW TECH HIGH SC,Nipomo,San Luis Obispo,0,7,0.0,3.8,
CENTRAL EAST HIGH SCHOOL,Fresno,Fresno,8,32,25.0,3.78,4.32
CENTRAL HIGH SCHOOL,Los Angeles,Los Angeles,0,0,,,
CENTRAL UNION HIGH SCHOOL,El Centro,Imperial,16,45,35.56,3.67,4.06
CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,3,14,21.43,3.73,
CENTURY HIGH SCHOOL,Santa Ana,Orange,10,23,43.48,3.46,4.12
CERES HIGH SCHOOL,Ceres,Stanislaus,6,15,40.0,4.18,4.29
CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,41,153,26.8,3.77,4.22
CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,3,14,21.43,3.67,
CESAR CHAVEZ LA ARTES MAGNET,San Fernando,Los Angeles,0,20,0.0,3.55,
CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,3,19,15.79,3.68,
CHAFFEY DISTRICT ONLINE HS,Ontario,San Bernardino,0,5,0.0,,
CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,14,30,46.67,3.59,3.91
CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura,8,24,33.33,3.93,4.21
CHAPARRAL HIGH SCHOOL,Temecula,Riverside,31,91,34.07,3.78,4.11
CHARTER COMMUNITY SCHOOL,Placerville,El Dorado,0,0,,,
CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,3,19,15.79,3.75,
CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,12,35,34.29,3.82,4.18
CHARTER SCHOOL OF SAN DIEGO,San Diego,San Diego,0,6,0.0,3.77,
CHATSWORTH HIGH SCHOOL,Chatsworth,Los Angeles,19,42,45.24,3.77,4.32
CHICO SENIOR HIGH SCHOOL,Chico,Butte,5,20,25.0,3.96,4.33
CHINO HIGH SCHOOL,Chino,San Bernardino,18,38,47.37,3.87,4.22
CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,33,120,27.5,3.84,4.19
CHOICES CHARTER SCHOOL,Sacramento,Sacramento,0,0,,,
CHOWCHILLA UNION HIGH SCHOOL,Chowchilla,Madera,6,19,31.58,3.66,
CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara,10,37,27.03,3.96,4.27
CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego,9,28,32.14,3.76,4.06
CHULA VISTA SENIOR HIGH SCHOOL,Chula Vista,San Diego,28,72,38.89,3.72,4.03
CIRCLE OF INDEPENDENT LEARNING,Fremont,Alameda,0,0,,,
CITRUS HILL HIGH SCHOOL,Perris,Riverside,19,86,22.09,3.78,4.13
CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino,15,49,30.61,3.92,4.27
CITY ARTS AND LEADERSHIP ACADEMY,San Francisco,San Francisco,0,0,,,
CITY HONORS HIGH SCHOOL,Inglewood,Los Angeles,0,8,0.0,3.37,
CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,0,0,,3.43,
CLAIREMONT HIGH SCHOOL,San Diego,San Diego,5,48,10.42,3.92,4.12
CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,31,108,28.7,3.95,4.21
CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,17,52,32.69,3.76,4.18
CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,13,32,40.62,3.98,4.17
CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,20,59,33.9,3.99,4.26
CLEAR LAKE HIGH SCHOOL,Lakeport,Lake,0,6,0.0,,
CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,39,106,36.79,3.81,4.21
CLOVERDALE HIGH SCHOOL,Cloverdale,Sonoma,3,5,60.0,4.08,
CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,12,38,31.58,3.87,4.29
CLOVIS HIGH SCHOOL,Clovis,Fresno,4,13,30.77,3.95,4.22
